State,cluster
Alabama,2
Arizona,3
Arkansas,2
California,3
Colorado,2
Connecticut,1
Delaware,1
District of Columbia,1
Florida,2
Georgia,2
Idaho,2
Illinois,1
Indiana,1
Iowa,1
Kansas,2
Kentucky,1
Louisiana,2
Maine,1
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,1
Mississippi,2
Missouri,2
Montana,2
Nebraska,2
Nevada,3
New Hampshire,1
New Jersey,1
New Mexico,3
New York,1
North Carolina,2
North Dakota,1
Ohio,1
Oklahoma,2
Oregon,2
Pennsylvania,1
Rhode Island,1
South Carolina,2
South Dakota,2
Tennessee,2
Texas,3
Utah,3
Vermont,1
Virginia,2
Washington,2
West Virginia,1
Wisconsin,1
Wyoming,2
