State,cluster
Alabama,3
Arizona,3
Arkansas,3
California,3
Colorado,2
Connecticut,1
Delaware,2
District of Columbia,2
Florida,3
Georgia,3
Idaho,2
Illinois,2
Indiana,2
Iowa,2
Kansas,2
Kentucky,2
Louisiana,3
Maine,1
Maryland,2
Massachusetts,1
Michigan,1
Minnesota,1
Mississippi,3
Missouri,2
Montana,2
Nebraska,2
Nevada,3
New Hampshire,1
New Jersey,2
New Mexico,3
New York,1
North Carolina,3
North Dakota,1
Ohio,2
Oklahoma,3
Oregon,2
Pennsylvania,2
Rhode Island,1
South Carolina,3
South Dakota,2
Tennessee,2
Texas,3
Utah,3
Vermont,1
Virginia,2
Washington,2
West Virginia,2
Wisconsin,1
Wyoming,2
